id,long(cm),short(cm)
2073,12.444149140575975,11.326821075043625
2074,9.673183332520708,9.66923751413994
2075,13.824242604204562,12.996155253798644
2076,10.115464282527679,9.494804398121344
2207,11.116862037091481,10.102530793911514
2208,9.473501481950644,9.307351276110081
2343,10.85189064062016,9.628031723693972
2344,11.012584824920733,10.690621273316946
2345,10.358427543745584,9.80285775849246
2209,11.376448872158512,11.371067377801609
2210,12.770583376162378,11.547332113492454
2211,11.741816096619765,11.19749451873824
2346,9.103579860538861,9.098535872351857
2347,11.551306857845983,11.197494513518306
2212,10.33925517250485,10.174952884334886
2213,11.945420144241464,10.470917479518382
2348,9.153407965796942,8.720294093934145
2349,11.084281337368992,10.028574032279124
2480,12.564773026346343,10.603344903902695
2481,9.42562458544211,9.24603311438596
2482,10.020249566874313,8.843327263385357
2619,10.210765671063495,8.451083325738368
2620,10.797851782953856,9.425624585665524
2621,10.216426231351733,10.210765627477041
2483,11.001185750376692,10.21076562565487
2484,11.779474721413399,10.826370468627259
2485,12.370006473327882,11.205989566502906
2622,11.233472106647092,10.994176415300078
2623,11.584813781851249,11.190500975287792
2624,12.370006480360429,11.197387464966168
2486,10.012553476840536,9.456243904360619
2625,11.975799263742768,11.41387267808809
4538,9.949020281383842,8.357874081091076
4539,14.544450707897266,12.533259117081514
4540,10.957999032005148,10.772225890486812
4676,12.558496005886276,12.340734258965066
4814,9.974877983154744,9.964090839883443
4549,10.17798402158095,9.748029174017251
4550,12.836136128913738,12.53069955617778
4551,11.304004181491942,10.489887452589928
4687,11.963373702536076,11.901987676901157
4688,12.597683117981065,9.930442688006396
4689,11.759539637201295,11.22574433265486
4825,10.932479362634657,10.312785789911667
4826,11.693166410073962,11.379405081989571
4827,11.649697047785205,11.383509885506236
4552,12.133067952060191,12.093524957939259
4553,12.406340199668177,12.1986880297702
4554,12.383153186973948,11.442267455179806
4690,14.188231617749162,13.201914996695784
4691,11.66886899777733,11.301866219042509
4692,10.804962404468563,9.868930427904196
4828,12.47564273063695,11.880406483123547
4829,13.228495249765155,12.508873674936444
4830,11.122437522632838,10.760540019476068
4555,12.698892757615047,11.799494751343135
4556,14.659788301790682,13.180127654936125
4557,10.432246389738072,9.561459160248404
4693,13.869345145997002,13.317095277368532
4694,12.746461913520132,11.720876979616323
4695,12.353304266460865,12.224247067508669
4696,9.68961007968617,9.030688628637124
4831,11.20119065377159,10.885240891808175
4832,11.69378358590844,10.914341551843778
4558,11.973735563401972,10.885240898009716
4559,8.234585124644385,7.452762762318008
4560,10.357656754547952,9.296070821839427
4561,12.052945270452366,11.959009559181581
4698,13.897269181817936,12.768562404465191
4699,13.274684037496495,12.316159975825954
4834,13.84645632679185,13.317095260704551
4835,12.478202944515484,12.224247048902958
4836,12.481027081767301,11.729894205091213
4837,9.572510801419345,9.166263031007093
4562,10.623065358115362,9.855503050903454
4563,13.805671388005472,11.994321637724067
4564,11.465516020849742,11.16336998272431
4701,12.212709290879925,11.229472571726875
4703,11.959009513741687,11.684738512848645
4838,10.898184131307799,10.120151062624238
4839,12.523311868938206,12.090898184670861
4840,13.84645632679185,10.830059667244722
4980,13.298556991679641,12.489495476983018
4979,12.090898195075757,10.96588536831704
4978,11.201190648071764,11.150734591042347
5114,12.23865393010463,10.17571855179601
5113,11.947215592826128,10.965885360372466
5112,10.367859684783246,9.82326617919014
5111,8.797420622780173,7.772211289163704
5249,11.708843231326359,10.569849937773371
5248,13.808223969408925,10.619747193754378
5247,12.481027036379874,11.756904349754496
5246,13.298556993199275,11.087341612214235
5245,13.033549642222617,12.396024755285948
5244,12.503596747282808,11.526829398388264
5110,10.36785968524617,9.85550306710632
